date,timestamp,timestamp_ms,body_battery_level
2026-03-02,2026-03-02 05:12:00,1772428320000,77
2026-03-02,2026-03-02 05:15:00,1772428500000,77
2026-03-02,2026-03-02 05:18:00,1772428680000,77
2026-03-02,2026-03-02 05:21:00,1772428860000,78
2026-03-02,2026-03-02 05:24:00,1772429040000,78
2026-03-02,2026-03-02 05:27:00,1772429220000,79
2026-03-02,2026-03-02 05:30:00,1772429400000,79
2026-03-02,2026-03-02 05:33:00,1772429580000,79
2026-03-02,2026-03-02 05:36:00,1772429760000,79
2026-03-02,2026-03-02 05:39:00,1772429940000,80
2026-03-02,2026-03-02 05:42:00,1772430120000,80
2026-03-02,2026-03-02 05:45:00,1772430300000,81
2026-03-02,2026-03-02 05:48:00,1772430480000,82
2026-03-02,2026-03-02 05:51:00,1772430660000,82
2026-03-02,2026-03-02 05:54:00,1772430840000,83
2026-03-02,2026-03-02 05:57:00,1772431020000,83
2026-03-02,2026-03-02 06:00:00,1772431200000,84
2026-03-02,2026-03-02 06:03:00,1772431380000,84
2026-03-02,2026-03-02 06:06:00,1772431560000,85
2026-03-02,2026-03-02 06:09:00,1772431740000,85
2026-03-02,2026-03-02 06:12:00,1772431920000,85
2026-03-02,2026-03-02 06:15:00,1772432100000,85
2026-03-02,2026-03-02 06:18:00,1772432280000,86
2026-03-02,2026-03-02 06:21:00,1772432460000,87
2026-03-02,2026-03-02 06:24:00,1772432640000,87
2026-03-02,2026-03-02 06:27:00,1772432820000,87
2026-03-02,2026-03-02 06:30:00,1772433000000,89
2026-03-02,2026-03-02 06:33:00,1772433180000,89
2026-03-03,2026-03-03 01:15:00,1772500500000,21
2026-03-03,2026-03-03 01:18:00,1772500680000,21
2026-03-03,2026-03-03 01:21:00,1772500860000,23
2026-03-03,2026-03-03 01:24:00,1772501040000,23
2026-03-03,2026-03-03 01:27:00,1772501220000,23
2026-03-03,2026-03-03 01:30:00,1772501400000,24
2026-03-03,2026-03-03 01:33:00,1772501580000,24
2026-03-03,2026-03-03 01:36:00,1772501760000,24
2026-03-03,2026-03-03 01:39:00,1772501940000,24
2026-03-03,2026-03-03 01:42:00,1772502120000,25
2026-03-03,2026-03-03 01:45:00,1772502300000,25
2026-03-03,2026-03-03 01:48:00,1772502480000,26
2026-03-03,2026-03-03 01:51:00,1772502660000,27
2026-03-03,2026-03-03 01:54:00,1772502840000,27
2026-03-03,2026-03-03 01:57:00,1772503020000,28
2026-03-03,2026-03-03 02:00:00,1772503200000,28
2026-03-03,2026-03-03 02:03:00,1772503380000,29
2026-03-03,2026-03-03 02:06:00,1772503560000,29
2026-03-03,2026-03-03 02:09:00,1772503740000,30
2026-03-03,2026-03-03 02:12:00,1772503920000,30
2026-03-03,2026-03-03 02:15:00,1772504100000,31
2026-03-03,2026-03-03 02:18:00,1772504280000,31
2026-03-03,2026-03-03 02:21:00,1772504460000,32
2026-03-03,2026-03-03 02:24:00,1772504640000,32
2026-03-03,2026-03-03 02:27:00,1772504820000,33
2026-03-03,2026-03-03 02:30:00,1772505000000,33
2026-03-03,2026-03-03 02:33:00,1772505180000,34
2026-03-03,2026-03-03 02:36:00,1772505360000,34
2026-03-03,2026-03-03 02:39:00,1772505540000,34
2026-03-03,2026-03-03 02:42:00,1772505720000,35
2026-03-03,2026-03-03 02:45:00,1772505900000,35
2026-03-03,2026-03-03 02:48:00,1772506080000,36
2026-03-03,2026-03-03 02:51:00,1772506260000,37
2026-03-03,2026-03-03 02:54:00,1772506440000,38
2026-03-03,2026-03-03 02:57:00,1772506620000,39
2026-03-03,2026-03-03 03:00:00,1772506800000,39
2026-03-03,2026-03-03 03:03:00,1772506980000,40
2026-03-03,2026-03-03 03:06:00,1772507160000,41
2026-03-03,2026-03-03 03:09:00,1772507340000,41
2026-03-03,2026-03-03 03:12:00,1772507520000,42
2026-03-03,2026-03-03 03:15:00,1772507700000,43
2026-03-03,2026-03-03 03:18:00,1772507880000,44
2026-03-03,2026-03-03 03:21:00,1772508060000,45
2026-03-03,2026-03-03 03:24:00,1772508240000,45
2026-03-03,2026-03-03 03:27:00,1772508420000,46
2026-03-03,2026-03-03 03:30:00,1772508600000,47
2026-03-03,2026-03-03 03:33:00,1772508780000,47
2026-03-03,2026-03-03 03:36:00,1772508960000,48
2026-03-03,2026-03-03 03:39:00,1772509140000,49
2026-03-03,2026-03-03 03:42:00,1772509320000,50
2026-03-03,2026-03-03 03:45:00,1772509500000,50
2026-03-03,2026-03-03 03:48:00,1772509680000,51
2026-03-03,2026-03-03 03:51:00,1772509860000,51
2026-03-03,2026-03-03 03:54:00,1772510040000,52
2026-03-03,2026-03-03 03:57:00,1772510220000,53
2026-03-03,2026-03-03 04:00:00,1772510400000,53
2026-03-03,2026-03-03 04:03:00,1772510580000,55
2026-03-03,2026-03-03 04:06:00,1772510760000,55
2026-03-03,2026-03-03 04:09:00,1772510940000,56
2026-03-03,2026-03-03 04:12:00,1772511120000,57
2026-03-03,2026-03-03 04:15:00,1772511300000,58
2026-03-03,2026-03-03 04:18:00,1772511480000,59
2026-03-03,2026-03-03 04:21:00,1772511660000,59
2026-03-03,2026-03-03 04:24:00,1772511840000,60
2026-03-03,2026-03-03 04:27:00,1772512020000,61
2026-03-03,2026-03-03 04:30:00,1772512200000,61
2026-03-03,2026-03-03 04:33:00,1772512380000,62
2026-03-03,2026-03-03 04:36:00,1772512560000,62
2026-03-03,2026-03-03 04:39:00,1772512740000,63
2026-03-03,2026-03-03 04:42:00,1772512920000,64
2026-03-03,2026-03-03 04:45:00,1772513100000,64
