date,start_time,end_time,movement_intensity
2026-03-02,2026-03-02T06:10:00.0,2026-03-02T06:11:00.0,1.0187425589193435
2026-03-02,2026-03-02T06:11:00.0,2026-03-02T06:12:00.0,1.06822536204735
2026-03-02,2026-03-02T06:12:00.0,2026-03-02T06:13:00.0,1.1087030592758875
2026-03-02,2026-03-02T06:13:00.0,2026-03-02T06:14:00.0,1.1398466049248381
2026-03-02,2026-03-02T06:14:00.0,2026-03-02T06:15:00.0,1.1614872311326028
2026-03-02,2026-03-02T06:15:00.0,2026-03-02T06:16:00.0,1.1735884223403314
2026-03-02,2026-03-02T06:16:00.0,2026-03-02T06:17:00.0,1.17621707796523
2026-03-02,2026-03-02T06:17:00.0,2026-03-02T06:18:00.0,1.1669890631378514
2026-03-02,2026-03-02T06:18:00.0,2026-03-02T06:19:00.0,1.1520040609572624
2026-03-02,2026-03-02T06:19:00.0,2026-03-02T06:20:00.0,1.1379137489078457
2026-03-02,2026-03-02T06:20:00.0,2026-03-02T06:21:00.0,1.1237560621063132
2026-03-02,2026-03-02T06:21:00.0,2026-03-02T06:22:00.0,1.1129856913128546
2026-03-02,2026-03-02T06:22:00.0,2026-03-02T06:23:00.0,1.108291104485073
2026-03-02,2026-03-02T06:23:00.0,2026-03-02T06:24:00.0,1.1119328364658627
2026-03-02,2026-03-02T06:24:00.0,2026-03-02T06:25:00.0,1.1239434052584987
2026-03-02,2026-03-02T06:25:00.0,2026-03-02T06:26:00.0,1.1451625515127273
2026-03-02,2026-03-02T06:26:00.0,2026-03-02T06:27:00.0,1.1696245699455103
2026-03-02,2026-03-02T06:27:00.0,2026-03-02T06:28:00.0,1.197760362432005
2026-03-02,2026-03-02T06:28:00.0,2026-03-02T06:29:00.0,1.221992164254899
2026-03-02,2026-03-02T06:29:00.0,2026-03-02T06:30:00.0,1.2452037793154378
2026-03-02,2026-03-02T06:30:00.0,2026-03-02T06:31:00.0,1.263775236785903
2026-03-02,2026-03-02T06:31:00.0,2026-03-02T06:32:00.0,1.2762757199357213
2026-03-02,2026-03-02T06:32:00.0,2026-03-02T06:33:00.0,1.2815208183178115
2026-03-02,2026-03-02T06:33:00.0,2026-03-02T06:34:00.0,1.2802375688976912
2026-03-02,2026-03-02T06:34:00.0,2026-03-02T06:35:00.0,1.2686305057540876
2026-03-02,2026-03-02T06:35:00.0,2026-03-02T06:36:00.0,1.2482550854689534
2026-03-02,2026-03-02T06:36:00.0,2026-03-02T06:37:00.0,1.2214529371739493
2026-03-02,2026-03-02T06:37:00.0,2026-03-02T06:38:00.0,1.18733555054972
2026-03-02,2026-03-02T06:38:00.0,2026-03-02T06:39:00.0,1.1449551591339047
2026-03-02,2026-03-02T06:39:00.0,2026-03-02T06:40:00.0,1.0973525243261986
2026-03-02,2026-03-02T06:40:00.0,2026-03-02T06:41:00.0,1.0461478421815116
2026-03-02,2026-03-02T06:41:00.0,2026-03-02T06:42:00.0,0.9926251973661403
2026-03-02,2026-03-02T06:42:00.0,2026-03-02T06:43:00.0,0.9376489123346649
2026-03-02,2026-03-02T06:43:00.0,2026-03-02T06:44:00.0,0.8816367438014299
2026-03-02,2026-03-02T06:44:00.0,2026-03-02T06:45:00.0,0.824597485753026
2026-03-02,2026-03-02T06:45:00.0,2026-03-02T06:46:00.0,0.7662274721395965
2026-03-02,2026-03-02T06:46:00.0,2026-03-02T06:47:00.0,0.7033159771449828
2026-03-02,2026-03-02T06:47:00.0,2026-03-02T06:48:00.0,0.6487461597124556
2026-03-02,2026-03-02T06:48:00.0,2026-03-02T06:49:00.0,0.5812481383922352
2026-03-02,2026-03-02T06:49:00.0,2026-03-02T06:50:00.0,0.6293512748828884
2026-03-02,2026-03-02T06:50:00.0,2026-03-02T06:51:00.0,0.7669798400103982
2026-03-02,2026-03-02T06:51:00.0,2026-03-02T06:52:00.0,0.9765854308023973
2026-03-02,2026-03-02T06:52:00.0,2026-03-02T06:53:00.0,1.2345133499252117
2026-03-02,2026-03-02T06:53:00.0,2026-03-02T06:54:00.0,1.511922402685561
2026-03-02,2026-03-02T06:54:00.0,2026-03-02T06:55:00.0,1.8364095777429217
2026-03-02,2026-03-02T06:55:00.0,2026-03-02T06:56:00.0,2.171858941720209
2026-03-02,2026-03-02T06:56:00.0,2026-03-02T06:57:00.0,2.5077143473919374
2026-03-02,2026-03-02T06:57:00.0,2026-03-02T06:58:00.0,2.835476506541304
2026-03-02,2026-03-02T06:58:00.0,2026-03-02T06:59:00.0,3.142646971250674
2026-03-02,2026-03-02T06:59:00.0,2026-03-02T07:00:00.0,3.4222353477393916
2026-03-02,2026-03-02T07:00:00.0,2026-03-02T07:01:00.0,3.66675424830152
2026-03-02,2026-03-02T07:01:00.0,2026-03-02T07:02:00.0,3.8697131190318754
2026-03-02,2026-03-02T07:02:00.0,2026-03-02T07:03:00.0,4.0258957168051825
2026-03-02,2026-03-02T07:03:00.0,2026-03-02T07:04:00.0,4.131590770507674
2026-03-02,2026-03-02T07:04:00.0,2026-03-02T07:05:00.0,4.184768629606269
2026-03-02,2026-03-02T07:05:00.0,2026-03-02T07:06:00.0,4.1851986905404255
2026-03-02,2026-03-02T07:06:00.0,2026-03-02T07:07:00.0,4.134504873654959
