date,timestamp,timestamp_ms,respiration_rate
2026-03-01,2026-03-01 05:02:00,1772341320000,12.0
2026-03-01,2026-03-01 05:04:00,1772341440000,12.0
2026-03-01,2026-03-01 05:06:00,1772341560000,14.0
2026-03-01,2026-03-01 05:08:00,1772341680000,12.0
2026-03-01,2026-03-01 05:10:00,1772341800000,11.0
2026-03-01,2026-03-01 05:12:00,1772341920000,11.0
2026-03-01,2026-03-01 05:14:00,1772342040000,12.0
2026-03-01,2026-03-01 05:16:00,1772342160000,12.0
2026-03-01,2026-03-01 05:18:00,1772342280000,12.0
2026-03-01,2026-03-01 05:20:00,1772342400000,12.0
2026-03-01,2026-03-01 05:22:00,1772342520000,12.0
2026-03-01,2026-03-01 05:24:00,1772342640000,12.0
2026-03-01,2026-03-01 05:26:00,1772342760000,12.0
2026-03-01,2026-03-01 05:28:00,1772342880000,13.0
2026-03-01,2026-03-01 05:30:00,1772343000000,13.0
2026-03-01,2026-03-01 05:32:00,1772343120000,12.0
2026-03-01,2026-03-01 05:34:00,1772343240000,13.0
2026-03-01,2026-03-01 05:36:00,1772343360000,11.0
2026-03-01,2026-03-01 05:38:00,1772343480000,12.0
2026-03-01,2026-03-01 05:40:00,1772343600000,12.0
2026-03-01,2026-03-01 05:42:00,1772343720000,14.0
2026-03-01,2026-03-01 05:44:00,1772343840000,13.0
2026-03-01,2026-03-01 05:46:00,1772343960000,15.0
2026-03-01,2026-03-01 05:48:00,1772344080000,15.0
2026-03-01,2026-03-01 05:50:00,1772344200000,15.0
2026-03-01,2026-03-01 05:52:00,1772344320000,16.0
2026-03-01,2026-03-01 05:54:00,1772344440000,16.0
2026-03-01,2026-03-01 05:56:00,1772344560000,13.0
2026-03-01,2026-03-01 05:58:00,1772344680000,12.0
2026-03-01,2026-03-01 06:00:00,1772344800000,11.0
2026-03-01,2026-03-01 06:02:00,1772344920000,12.0
2026-03-01,2026-03-01 06:04:00,1772345040000,12.0
2026-03-01,2026-03-01 06:06:00,1772345160000,10.0
2026-03-01,2026-03-01 06:08:00,1772345280000,12.0
2026-03-01,2026-03-01 06:10:00,1772345400000,14.0
2026-03-01,2026-03-01 06:12:00,1772345520000,13.0
2026-03-01,2026-03-01 06:14:00,1772345640000,12.0
2026-03-01,2026-03-01 06:16:00,1772345760000,13.0
2026-03-01,2026-03-01 06:18:00,1772345880000,13.0
2026-03-01,2026-03-01 06:20:00,1772346000000,13.0
2026-03-01,2026-03-01 06:22:00,1772346120000,11.0
2026-03-01,2026-03-01 06:24:00,1772346240000,11.0
2026-03-01,2026-03-01 06:26:00,1772346360000,11.0
2026-03-01,2026-03-01 06:28:00,1772346480000,11.0
2026-03-01,2026-03-01 06:30:00,1772346600000,12.0
2026-03-01,2026-03-01 06:32:00,1772346720000,11.0
2026-03-01,2026-03-01 06:34:00,1772346840000,12.0
2026-03-01,2026-03-01 06:36:00,1772346960000,11.0
2026-03-01,2026-03-01 06:38:00,1772347080000,12.0
2026-03-01,2026-03-01 06:40:00,1772347200000,12.0
2026-03-01,2026-03-01 06:42:00,1772347320000,12.0
2026-03-01,2026-03-01 06:44:00,1772347440000,11.0
2026-03-01,2026-03-01 06:46:00,1772347560000,12.0
2026-03-01,2026-03-01 06:48:00,1772347680000,12.0
2026-03-01,2026-03-01 06:50:00,1772347800000,12.0
2026-03-01,2026-03-01 06:52:00,1772347920000,11.0
2026-03-01,2026-03-01 06:54:00,1772348040000,11.0
2026-03-01,2026-03-01 06:56:00,1772348160000,12.0
2026-03-01,2026-03-01 06:58:00,1772348280000,13.0
2026-03-01,2026-03-01 07:00:00,1772348400000,12.0
2026-03-01,2026-03-01 07:02:00,1772348520000,12.0
2026-03-01,2026-03-01 07:04:00,1772348640000,13.0
2026-03-01,2026-03-01 07:06:00,1772348760000,12.0
2026-03-01,2026-03-01 07:08:00,1772348880000,13.0
2026-03-01,2026-03-01 07:10:00,1772349000000,14.0
2026-03-01,2026-03-01 07:12:00,1772349120000,12.0
2026-03-01,2026-03-01 07:14:00,1772349240000,13.0
2026-03-01,2026-03-01 07:16:00,1772349360000,12.0
2026-03-01,2026-03-01 07:18:00,1772349480000,11.0
2026-03-01,2026-03-01 07:20:00,1772349600000,13.0
2026-03-01,2026-03-01 07:22:00,1772349720000,15.0
2026-03-01,2026-03-01 07:24:00,1772349840000,15.0
2026-03-01,2026-03-01 07:26:00,1772349960000,12.0
2026-03-01,2026-03-01 07:28:00,1772350080000,15.0
2026-03-01,2026-03-01 07:30:00,1772350200000,14.0
2026-03-01,2026-03-01 07:32:00,1772350320000,19.0
2026-03-01,2026-03-01 07:34:00,1772350440000,18.0
2026-03-01,2026-03-01 07:36:00,1772350560000,13.0
2026-03-01,2026-03-01 07:38:00,1772350680000,12.0
2026-03-01,2026-03-01 07:40:00,1772350800000,12.0
2026-03-01,2026-03-01 07:42:00,1772350920000,11.0
2026-03-01,2026-03-01 07:44:00,1772351040000,12.0
2026-03-01,2026-03-01 07:46:00,1772351160000,14.0
