date,timestamp,timestamp_ms,stress_level
2026-03-03,2026-03-03 07:54:00,1772524440000,6
2026-03-03,2026-03-03 07:57:00,1772524620000,6
2026-03-03,2026-03-03 08:00:00,1772524800000,3
2026-03-03,2026-03-03 08:03:00,1772524980000,9
2026-03-03,2026-03-03 08:06:00,1772525160000,12
2026-03-03,2026-03-03 08:09:00,1772525340000,12
2026-03-03,2026-03-03 08:12:00,1772525520000,13
2026-03-03,2026-03-03 08:15:00,1772525700000,7
2026-03-03,2026-03-03 08:18:00,1772525880000,15
2026-03-03,2026-03-03 08:21:00,1772526060000,27
2026-03-03,2026-03-03 08:24:00,1772526240000,28
2026-03-03,2026-03-03 08:27:00,1772526420000,17
2026-03-03,2026-03-03 08:30:00,1772526600000,14
2026-03-03,2026-03-03 08:33:00,1772526780000,11
2026-03-03,2026-03-03 08:36:00,1772526960000,17
2026-03-03,2026-03-03 08:39:00,1772527140000,15
2026-03-03,2026-03-03 08:42:00,1772527320000,24
2026-03-03,2026-03-03 08:45:00,1772527500000,23
2026-03-03,2026-03-03 08:48:00,1772527680000,-1
2026-03-03,2026-03-03 08:51:00,1772527860000,-1
2026-03-03,2026-03-03 08:54:00,1772528040000,-1
2026-03-03,2026-03-03 08:57:00,1772528220000,-1
2026-03-03,2026-03-03 09:00:00,1772528400000,-1
2026-03-03,2026-03-03 09:03:00,1772528580000,-1
2026-03-03,2026-03-03 09:06:00,1772528760000,-1
2026-03-03,2026-03-03 09:09:00,1772528940000,86
2026-03-03,2026-03-03 09:12:00,1772529120000,91
2026-03-03,2026-03-03 09:15:00,1772529300000,78
2026-03-03,2026-03-03 09:18:00,1772529480000,48
2026-03-03,2026-03-03 09:21:00,1772529660000,66
2026-03-03,2026-03-03 09:24:00,1772529840000,-1
2026-03-03,2026-03-03 09:27:00,1772530020000,82
2026-03-03,2026-03-03 09:30:00,1772530200000,-1
2026-03-03,2026-03-03 09:33:00,1772530380000,83
2026-03-03,2026-03-03 09:36:00,1772530560000,34
2026-03-03,2026-03-03 09:39:00,1772530740000,24
2026-03-03,2026-03-03 09:42:00,1772530920000,39
2026-03-03,2026-03-03 09:45:00,1772531100000,34
2026-03-03,2026-03-03 09:48:00,1772531280000,46
2026-03-03,2026-03-03 09:51:00,1772531460000,39
2026-03-03,2026-03-03 09:54:00,1772531640000,49
2026-03-03,2026-03-03 09:57:00,1772531820000,49
2026-03-03,2026-03-03 10:00:00,1772532000000,73
2026-03-03,2026-03-03 10:03:00,1772532180000,34
2026-03-03,2026-03-03 10:06:00,1772532360000,33
2026-03-03,2026-03-03 10:09:00,1772532540000,24
2026-03-03,2026-03-03 10:12:00,1772532720000,25
2026-03-03,2026-03-03 10:15:00,1772532900000,24
2026-03-03,2026-03-03 10:18:00,1772533080000,34
2026-03-03,2026-03-03 10:21:00,1772533260000,22
2026-03-03,2026-03-03 10:24:00,1772533440000,19
2026-03-03,2026-03-03 10:27:00,1772533620000,25
2026-03-03,2026-03-03 10:30:00,1772533800000,27
2026-03-03,2026-03-03 10:33:00,1772533980000,25
2026-03-03,2026-03-03 10:36:00,1772534160000,23
2026-03-03,2026-03-03 10:39:00,1772534340000,31
2026-03-03,2026-03-03 10:42:00,1772534520000,-1
2026-03-03,2026-03-03 10:45:00,1772534700000,19
2026-03-03,2026-03-03 10:48:00,1772534880000,27
2026-03-03,2026-03-03 10:51:00,1772535060000,31
2026-03-03,2026-03-03 10:54:00,1772535240000,33
2026-03-03,2026-03-03 10:57:00,1772535420000,27
2026-03-03,2026-03-03 11:00:00,1772535600000,33
2026-03-03,2026-03-03 11:03:00,1772535780000,40
2026-03-03,2026-03-03 11:06:00,1772535960000,24
2026-03-03,2026-03-03 11:09:00,1772536140000,-1
2026-03-03,2026-03-03 11:12:00,1772536320000,25
2026-03-03,2026-03-03 11:15:00,1772536500000,20
2026-03-03,2026-03-03 11:18:00,1772536680000,10
2026-03-03,2026-03-03 11:21:00,1772536860000,17
2026-03-03,2026-03-03 11:24:00,1772537040000,-1
2026-03-03,2026-03-03 11:27:00,1772537220000,31
2026-03-03,2026-03-03 11:30:00,1772537400000,25
2026-03-03,2026-03-03 11:33:00,1772537580000,35
2026-03-03,2026-03-03 11:36:00,1772537760000,17
2026-03-03,2026-03-03 11:39:00,1772537940000,-1
2026-03-03,2026-03-03 11:42:00,1772538120000,20
2026-03-03,2026-03-03 11:45:00,1772538300000,11
2026-03-03,2026-03-03 11:48:00,1772538480000,22
2026-03-03,2026-03-03 11:51:00,1772538660000,24
2026-03-03,2026-03-03 11:54:00,1772538840000,15
2026-03-03,2026-03-03 11:57:00,1772539020000,-1
2026-03-03,2026-03-03 12:00:00,1772539200000,16
2026-03-03,2026-03-03 12:03:00,1772539380000,24
2026-03-03,2026-03-03 12:06:00,1772539560000,28
2026-03-03,2026-03-03 12:09:00,1772539740000,25
2026-03-03,2026-03-03 12:12:00,1772539920000,22
2026-03-03,2026-03-03 12:15:00,1772540100000,35
2026-03-03,2026-03-03 12:18:00,1772540280000,-2
2026-03-03,2026-03-03 12:21:00,1772540460000,35
2026-03-03,2026-03-03 12:24:00,1772540640000,-1
2026-03-03,2026-03-03 12:27:00,1772540820000,-2
2026-03-03,2026-03-03 12:30:00,1772541000000,29
2026-03-03,2026-03-03 12:33:00,1772541180000,23
2026-03-03,2026-03-03 12:36:00,1772541360000,30
2026-03-03,2026-03-03 12:39:00,1772541540000,47
2026-03-03,2026-03-03 12:42:00,1772541720000,40
2026-03-03,2026-03-03 12:45:00,1772541900000,37
2026-03-03,2026-03-03 12:48:00,1772542080000,52
2026-03-03,2026-03-03 12:51:00,1772542260000,-1
2026-03-03,2026-03-03 12:54:00,1772542440000,-1
2026-03-03,2026-03-03 12:57:00,1772542620000,21
2026-03-03,2026-03-03 13:00:00,1772542800000,51
2026-03-03,2026-03-03 13:03:00,1772542980000,26
2026-03-03,2026-03-03 13:06:00,1772543160000,25
2026-03-03,2026-03-03 13:09:00,1772543340000,41
2026-03-03,2026-03-03 13:12:00,1772543520000,15
2026-03-03,2026-03-03 13:15:00,1772543700000,24
2026-03-03,2026-03-03 13:18:00,1772543880000,20
2026-03-03,2026-03-03 13:21:00,1772544060000,20
2026-03-03,2026-03-03 13:24:00,1772544240000,17
2026-03-03,2026-03-03 13:27:00,1772544420000,17
2026-03-03,2026-03-03 13:30:00,1772544600000,21
2026-03-03,2026-03-03 13:33:00,1772544780000,19
2026-03-03,2026-03-03 13:36:00,1772544960000,22
2026-03-03,2026-03-03 13:39:00,1772545140000,17
2026-03-03,2026-03-03 13:42:00,1772545320000,18
2026-03-03,2026-03-03 13:45:00,1772545500000,22
2026-03-03,2026-03-03 13:48:00,1772545680000,21
