date,timestamp,timestamp_ms,heart_rate
2026-03-01,2026-03-01 05:10:00,1772341800000,51
2026-03-01,2026-03-01 05:12:00,1772341920000,50
2026-03-01,2026-03-01 05:14:00,1772342040000,49
2026-03-01,2026-03-01 05:16:00,1772342160000,49
2026-03-01,2026-03-01 05:18:00,1772342280000,50
2026-03-01,2026-03-01 05:20:00,1772342400000,49
2026-03-01,2026-03-01 05:22:00,1772342520000,50
2026-03-01,2026-03-01 05:24:00,1772342640000,49
2026-03-01,2026-03-01 05:26:00,1772342760000,50
2026-03-01,2026-03-01 05:28:00,1772342880000,50
2026-03-01,2026-03-01 05:30:00,1772343000000,50
2026-03-01,2026-03-01 05:32:00,1772343120000,51
2026-03-01,2026-03-01 05:34:00,1772343240000,50
2026-03-01,2026-03-01 05:36:00,1772343360000,50
2026-03-01,2026-03-01 05:38:00,1772343480000,50
2026-03-01,2026-03-01 05:40:00,1772343600000,52
2026-03-01,2026-03-01 05:42:00,1772343720000,54
2026-03-01,2026-03-01 05:44:00,1772343840000,51
2026-03-01,2026-03-01 05:46:00,1772343960000,52
2026-03-01,2026-03-01 05:48:00,1772344080000,54
2026-03-01,2026-03-01 05:50:00,1772344200000,53
2026-03-01,2026-03-01 05:52:00,1772344320000,54
2026-03-01,2026-03-01 05:54:00,1772344440000,54
2026-03-01,2026-03-01 05:56:00,1772344560000,54
2026-03-01,2026-03-01 05:58:00,1772344680000,62
2026-03-01,2026-03-01 06:00:00,1772344800000,54
2026-03-01,2026-03-01 06:02:00,1772344920000,57
2026-03-01,2026-03-01 06:04:00,1772345040000,54
2026-03-01,2026-03-01 06:06:00,1772345160000,53
2026-03-01,2026-03-01 06:08:00,1772345280000,58
2026-03-01,2026-03-01 06:10:00,1772345400000,54
2026-03-01,2026-03-01 06:12:00,1772345520000,54
2026-03-01,2026-03-01 06:14:00,1772345640000,53
2026-03-01,2026-03-01 06:16:00,1772345760000,53
2026-03-01,2026-03-01 06:18:00,1772345880000,52
2026-03-01,2026-03-01 06:20:00,1772346000000,52
2026-03-01,2026-03-01 06:22:00,1772346120000,54
2026-03-01,2026-03-01 06:24:00,1772346240000,51
2026-03-01,2026-03-01 06:26:00,1772346360000,50
2026-03-01,2026-03-01 06:28:00,1772346480000,50
2026-03-01,2026-03-01 06:30:00,1772346600000,50
2026-03-01,2026-03-01 06:32:00,1772346720000,50
2026-03-01,2026-03-01 06:34:00,1772346840000,51
2026-03-01,2026-03-01 06:36:00,1772346960000,55
2026-03-01,2026-03-01 06:38:00,1772347080000,49
2026-03-01,2026-03-01 06:40:00,1772347200000,50
2026-03-01,2026-03-01 06:42:00,1772347320000,48
2026-03-01,2026-03-01 06:44:00,1772347440000,49
2026-03-01,2026-03-01 06:46:00,1772347560000,51
2026-03-01,2026-03-01 06:48:00,1772347680000,49
2026-03-01,2026-03-01 06:50:00,1772347800000,49
2026-03-01,2026-03-01 06:52:00,1772347920000,53
2026-03-01,2026-03-01 06:54:00,1772348040000,49
2026-03-01,2026-03-01 06:56:00,1772348160000,51
2026-03-01,2026-03-01 06:58:00,1772348280000,52
2026-03-01,2026-03-01 07:00:00,1772348400000,53
2026-03-01,2026-03-01 07:02:00,1772348520000,51
2026-03-01,2026-03-01 07:04:00,1772348640000,55
2026-03-01,2026-03-01 07:06:00,1772348760000,55
2026-03-01,2026-03-01 07:08:00,1772348880000,55
2026-03-01,2026-03-01 07:10:00,1772349000000,52
2026-03-01,2026-03-01 07:12:00,1772349120000,51
2026-03-01,2026-03-01 07:14:00,1772349240000,52
2026-03-01,2026-03-01 07:16:00,1772349360000,56
2026-03-01,2026-03-01 07:18:00,1772349480000,53
2026-03-01,2026-03-01 07:20:00,1772349600000,49
2026-03-01,2026-03-01 07:22:00,1772349720000,51
2026-03-01,2026-03-01 07:24:00,1772349840000,52
2026-03-01,2026-03-01 07:26:00,1772349960000,52
2026-03-01,2026-03-01 07:28:00,1772350080000,53
2026-03-01,2026-03-01 07:30:00,1772350200000,51
2026-03-01,2026-03-01 07:32:00,1772350320000,56
2026-03-01,2026-03-01 07:34:00,1772350440000,62
2026-03-01,2026-03-01 07:36:00,1772350560000,53
2026-03-01,2026-03-01 07:38:00,1772350680000,53
2026-03-01,2026-03-01 07:40:00,1772350800000,50
2026-03-01,2026-03-01 07:42:00,1772350920000,51
2026-03-01,2026-03-01 07:44:00,1772351040000,48
2026-03-01,2026-03-01 07:46:00,1772351160000,50
2026-03-01,2026-03-01 07:48:00,1772351280000,54
2026-03-01,2026-03-01 07:50:00,1772351400000,50
2026-03-01,2026-03-01 07:52:00,1772351520000,47
